"","year","1.1_TOTAL.FINAL.ENERGY.CONSUM","2.1_SHARE.TOTAL.RE.IN.TFEC","3.1_RE.CONSUMPTION","4.1.2_REN.ELECTRICITY.OUTPUT","6.1_PRIMARY.ENERGY.INTENSITY","CC.CO2.EMSE.EN","CC.EAR.OEU","CC.ECA.OEU","CC.ECH.OEU","CC.ECO.OEU"
"1",1990-01-01,241049.609028,95.1197145370049,229285.7,877,10.7912799533894,0.9,44.4959,1.8211,0.065,40.633
"2",1991-01-01,248807.372616,94.1886478427166,234348.3,900,10.4738135712736,1.13,59.6367,2.4924,0.089,54.4194
"3",1992-01-01,254184.18678,94.1610503123683,239342.5,839,10.3057949704018,1.14,57.5914,2.2482,0.0803,52.6287
"4",1993-01-01,261402.481188,93.545554307166,244530.4,871,10.185770780103,1.3,59.9645,2.3815,0.0851,54.8612
"5",1994-01-01,270664.47828,92.3802419840757,250040.5,929,9.74633443734357,1.62,188.4028,2.8199,0.1007,171.4408
"6",1995-01-01,278875.504836,91.7324022955839,255819.2,1159,9.71616978929621,1.76,107.8974,5.7004,0.2036,98.9897
"7",1996-01-01,285813.9954,91.5154625769596,261564,1181,9.44646511081744,1.83,108.9806,5.6939,0.2034,100.0794
"8",1997-01-01,294659.405892,90.7086604586331,267281.6,1062,9.28322033119918,2.1,117.5627,5.7233,0.2044,107.9801
"9",1998-01-01,302000.37354,90.4911794633272,273283.7,1131,9.24550204080244,2.2,258.8681,2.1975,0.0785,235.3946
"10",1999-01-01,317802.026628,88.0524277862945,279832.4,1411,9.34199922628934,3.01,320.0008,7.0038,0.2501,291.4925
"11",2000-01-01,336176.845128,88.284545560238,296792.2,1632,9.28628339851372,3.1,323.1477,6.7513,0.2411,294.577
"12",2001-01-01,347487.401592,87.7565053014631,304942.8,1849,9.15263719772042,3.35,298.2303,6.7592,0.2414,272.2555
"13",2002-01-01,351306.558684,89.9432965850833,315976.7,2119,9.24301261778758,2.67,264.1546,3.2641,0.1166,241.1881
"14",2003-01-01,361485.79992,89.4428771673892,323323.3,2263,9.14375955694799,2.9,263.5096,3.9019,0.1394,240.8519
"15",2004-01-01,366494.636232,90.2970104562488,330933.7,2404,8.86062624653819,2.7,281.4224,3.425,0.1223,257.3106
"16",2005-01-01,378027.721116,89.5173769270111,338400.5,2517,8.85274049406791,3.08,303.6198,5.2644,0.188,277.9064
"17",2006-01-01,378001.721088,91.2532617595403,344938.9,2735,8.56397807526844,2.5,280.5205,3.2755,0.117,256.8895
"18",2007-01-01,385961.707116,91.312271010885,352430.4,2783,8.44204525478674,2.58,254.2955,4.1895,0.1496,233.2894
"19",2008-01-01,397447.27182,90.4689314769895,359566.3,2803,8.23467901618003,2.88,343.268,3.9587,0.1414,314.3596
"20",2009-01-01,410289.275988,88.9270866564573,364858.3,3102,8.11063262922194,3.42,427.7752,3.8696,0.1382,391.4669
"21",2010-01-01,422711.134776,87.2924485879784,368994.9,3205,7.96568155585888,4.12,476.0172,5.3823,0.1922,435.8431
"22",2011-01-01,437443.395408,86.9455120348228,380337.4,3490,7.97206215285814,4.4,490.647,4.8397,0.1728,449.7361
"23",2012-01-01,418156.105716,84.6973403374242,354167.1,3533,7.2726659983594,4.97,480.7656,3.2861,0.1174,441.4792
"24",2013-01-01,464999.656968,86.2530958872516,401076.6,3507,7.76571265181869,4.95,570.0355,6.7659,0.2416,522.3196
"25",2014-01-01,482487.25068,84.3747890594521,407097.6,3796,7.60369635213534,5.95,592.6785,8.1424,0.2908,542.4494
"26",2015-01-01,483589.676988,85.2639581903713,412327.7,3503,7.42382880373283,5.69,529.9213,6.8527,0.2447,483.6548
"27",2016-01-01,NA,NA,NA,NA,NA,8.5,806.464,7.3152,0.2613,733.9864
"28",2017-01-01,NA,NA,NA,NA,NA,10.19,942.0609,7.1383,0.2549,854.7952
"29",2018-01-01,NA,NA,NA,NA,NA,11.19,1006.8925,6.729,0.2403,913.542
"30",2019-01-01,NA,NA,NA,NA,NA,NA,1089.8184,6.4465,0.2302,987.8434
"31",2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2021-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2022-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2025-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
