"","V1","V2","V3","V4","V5"
"1",0.51394696556963,0.11282249703072,0.115552085917443,0.698653491679579,0.35585501161404
"2",0.107004816643894,0.905615362571552,0.821095009800047,0.289402401307598,0.0110831072088331
"3",0.775528322439641,0.778090465115383,0.385174383874983,0.359525272157043,0.575453059980646
"4",0.315991574665532,0.244879323756322,0.542972634546459,0.777360889595002,0.0959982036147267
"5",0.424690059619024,0.09750627563335,0.582535820780322,0.454251152928919,0.577934349421412
"6",0.168715612730011,0.753616209374741,0.0623579435050488,0.249075816711411,0.645594698144123
"7",0.762666533235461,0.724214041372761,0.401006087427959,0.925704893423244,0.47398430830799
"8",0.826774117304012,0.371693358290941,0.350966204889119,0.68155651492998,0.554879204835743
"9",0.496476141968742,0.358588823350146,0.780459807021543,0.230781466932967,0.370454274816439
"10",0.745571753475815,0.403489583404735,0.82166434195824,0.388794311322272,0.621618371224031
"11",0.170865189284086,0.473293724702671,0.82171820406802,0.0505504845641553,0.734209387796
"12",0.975863391533494,0.770257011754438,0.399946267483756,0.0470679288264364,0.988965879427269
"13",0.305599403334782,0.926028636749834,0.710723646450788,0.182688929373398,0.356659082928672
"14",0.278131464030594,0.553970080334693,0.968654417432845,0.991146011045203,0.807740312535316
"15",0.608450308209285,0.0774065149016678,0.0520069242920727,0.829321326920763,0.457271677441895
"16",0.985097404336557,0.43207723647356,0.102155138738453,0.839207846671343,0.996336948825046
"17",0.0372244352474809,0.937674797838554,0.932125047082081,0.83658283459954,0.922398744150996
"18",0.687974046682939,0.0988245147746056,0.458789549069479,0.592049750033766,0.222831081598997
"19",0.972761865938082,0.153438033536077,0.547614900628105,0.581079952185974,0.666891070781276
"20",0.779264141106978,0.710345505038276,0.37097002658993,0.449250607984141,0.707006769487634
