"","year","BM.GSR.CMCP.ZS","BX.GSR.CMCP.ZS","TM.VAL.OTHR.ZS.WT"
"1",1990-01-01,31.1368831075041,43.68624284082,27.4858511098432
"2",1991-01-01,30.7992869273717,38.3576623873343,28.7907883128681
"3",1992-01-01,36.0032852033963,45.6141182713158,34.553924206877
"4",1993-01-01,29.2312877100029,39.40457370684,27.6288243067117
"5",1994-01-01,27.0306265710857,62.3189300930586,25.2466332184163
"6",1995-01-01,18.2182994075628,65.7332594598255,15.9283018548518
"7",1996-01-01,25.6654477697222,68.7716376314152,23.1883873984077
"8",1997-01-01,26.2683138535676,76.8436818240752,23.2991907783741
"9",1998-01-01,31.8052389765516,56.0354270431306,29.1418915420853
"10",1999-01-01,31.6735471859986,65.0328044020709,28.1661912729596
"11",2000-01-01,30.9432486022868,56.6771082838784,28.5454269416246
"12",2001-01-01,29.5002824589795,53.7642091153828,26.2788001348764
"13",2002-01-01,17.0830314021488,54.2013940486414,15.0360746848648
"14",2003-01-01,19.8124801774343,36.5941233826017,17.1687048042034
"15",2004-01-01,18.5801798403888,42.9614415120739,16.5733045662416
"16",2005-01-01,19.4075951920424,55.8857454617906,17.3360896887734
"17",2006-01-01,18.7734717718552,57.3337591705323,18.01386718342
"18",2007-01-01,18.1171677371128,53.0510690863829,17.3841133245077
"19",2008-01-01,12.7487730018538,49.863728101113,11.5460582359922
"20",2009-01-01,13.0622148567449,35.7893799847904,11.5746183822708
"21",2010-01-01,18.0665977651498,42.7780123419341,15.6942411796034
"22",2011-01-01,19.074206946098,50.7765641370762,16.8683535554104
"23",2012-01-01,12.4496758444023,58.3283879671682,11.0133216139502
"24",2013-01-01,15.2853476612442,60.6970773748301,14.0722189080032
"25",2014-01-01,18.0941622947564,62.4977514881251,16.441765073264
"26",2015-01-01,18.6782838939569,62.7404743436943,17.4398117827502
"27",2016-01-01,16.4133791784976,62.1390910963534,15.5916067575143
"28",2017-01-01,15.1701239698208,53.7815574035391,13.7672169617482
"29",2018-01-01,15.2759464744975,54.9207049390858,13.8222554516028
"30",2019-01-01,18.6083914464434,49.2207249793416,17.1395370917816
"31",2020-01-01,19.3320581371222,71.4683566820598,17.6841738731183
"32",2021-01-01,14.1869109939495,77.9943591604342,12.673010150389
